server_timestamp,device_id,batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 10/12/2025 03:20:00,1,2,16, 10/12/2025 03:20:00.638,DATA,"24.2,3.8",127.0.0.1:60037,0.733,0,0,17,0.0803
 10/12/2025 03:20:01,1,4,17, 10/12/2025 03:20:01.639,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.743,0,0,26,0.1139
 10/12/2025 03:20:02,1,3,18, 10/12/2025 03:20:02.640,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.75,0,0,22,0.1354
 10/12/2025 03:20:03,1,5,19, 10/12/2025 03:20:03.641,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.736,0,0,31,0.0773
 10/12/2025 03:20:04,1,2,20, 10/12/2025 03:20:04.642,DATA,"24.2,3.8",127.0.0.1:60037,0.752,0,0,17,0.0799
 10/12/2025 03:20:05,1,4,21, 10/12/2025 03:20:05.643,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.752,0,0,26,0.0710
 10/12/2025 03:20:06,1,3,22, 10/12/2025 03:20:06.644,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.753,0,0,22,0.0718
 10/12/2025 03:20:07,1,2,24, 10/12/2025 03:20:07.645,DATA,"24.2,3.8",127.0.0.1:60037,0.737,0,0,17,0.0229
 10/12/2025 03:20:08,1,4,25, 10/12/2025 03:20:08.647,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.748,0,0,26,0.0845
 10/12/2025 03:20:09,1,3,26, 10/12/2025 03:20:09.647,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.744,0,0,22,0.0828
 10/12/2025 03:20:10,1,5,27, 10/12/2025 03:20:10.648,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.75,0,0,31,0.0656
 10/12/2025 03:20:11,1,2,28, 10/12/2025 03:20:11.649,DATA,"24.2,3.8",127.0.0.1:60037,0.741,0,0,17,0.0723
 10/12/2025 03:20:12,1,4,29, 10/12/2025 03:20:12.650,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.748,0,0,26,0.0936
 10/12/2025 03:20:13,1,3,30, 10/12/2025 03:20:13.651,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.751,0,0,22,0.0750
 10/12/2025 03:20:14,1,5,31, 10/12/2025 03:20:14.652,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.755,0,0,31,0.0788
 10/12/2025 03:20:15,1,2,32, 10/12/2025 03:20:15.653,DATA,"24.2,3.8",127.0.0.1:60037,0.744,0,0,17,0.0780
 10/12/2025 03:20:16,1,4,33, 10/12/2025 03:20:16.654,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.746,0,0,26,0.0736
 10/12/2025 03:20:17,1,5,35, 10/12/2025 03:20:17.654,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.76,0,0,31,0.0249
 10/12/2025 03:20:18,1,2,36, 10/12/2025 03:20:18.656,DATA,"24.2,3.8",127.0.0.1:60037,0.75,0,0,17,0.0856
 10/12/2025 03:20:19,1,4,37, 10/12/2025 03:20:19.656,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.759,0,0,26,0.0691
 10/12/2025 03:20:20,1,3,38, 10/12/2025 03:20:20.657,DATA,"24.0,44.9,3.9",127.0.0.1:60037,0.762,0,0,22,0.0842
 10/12/2025 03:20:21,1,5,39, 10/12/2025 03:20:21.658,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:60037,0.749,0,0,31,0.1815
 10/12/2025 03:20:22,1,2,40, 10/12/2025 03:20:22.659,DATA,"24.2,3.8",127.0.0.1:60037,0.762,0,0,17,0.0735
 10/12/2025 03:20:23,1,4,41, 10/12/2025 03:20:23.659,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:60037,0.77,0,0,26,0.0788
 10/12/2025 03:21:59,1,3,2, 10/12/2025 03:21:59.552,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.553,0,0,22,0.0193
 10/12/2025 03:22:00,1,5,3, 10/12/2025 03:22:00.553,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:54149,0.554,0,0,31,0.1109
 10/12/2025 03:22:01,1,2,4, 10/12/2025 03:22:01.554,DATA,"24.2,3.8",127.0.0.1:54149,0.555,0,0,17,0.0870
 10/12/2025 03:22:02,1,4,5, 10/12/2025 03:22:02.555,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:54149,0.556,0,0,26,0.0835
 10/12/2025 03:22:03,1,3,6, 10/12/2025 03:22:03.557,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.558,0,0,22,0.1135
 10/12/2025 03:22:04,1,5,7, 10/12/2025 03:22:04.558,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:54149,0.559,0,0,31,0.0609
 10/12/2025 03:22:05,1,2,8, 10/12/2025 03:22:05.559,DATA,"24.2,3.8",127.0.0.1:54149,0.56,0,0,17,0.0683
 10/12/2025 03:22:06,1,4,9, 10/12/2025 03:22:06.560,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:54149,0.561,0,0,26,0.0859
 10/12/2025 03:22:07,1,3,10, 10/12/2025 03:22:07.561,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.562,0,0,22,0.0663
 10/12/2025 03:22:08,1,5,11, 10/12/2025 03:22:08.562,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:54149,0.563,0,0,31,0.0660
 10/12/2025 03:22:09,1,4,13, 10/12/2025 03:22:09.564,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:54149,0.564,0,0,26,0.0195
 10/12/2025 03:22:11,1,3,14, 10/12/2025 03:22:11.865,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.866,0,0,22,0.0540
 10/12/2025 03:22:12,1,5,15, 10/12/2025 03:22:12.865,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:54149,0.866,0,0,31,0.0727
 10/12/2025 03:22:13,1,2,16, 10/12/2025 03:22:13.867,DATA,"24.2,3.8",127.0.0.1:54149,0.868,0,0,17,0.0678
 10/12/2025 03:22:14,1,4,17, 10/12/2025 03:22:14.868,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:54149,0.869,0,0,26,0.0540
 10/12/2025 03:22:15,1,3,18, 10/12/2025 03:22:15.869,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.87,0,0,22,0.0634
 10/12/2025 03:22:16,1,5,19, 10/12/2025 03:22:16.870,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:54149,0.871,0,0,31,0.0661
 10/12/2025 03:22:17,1,2,20, 10/12/2025 03:22:17.872,DATA,"24.2,3.8",127.0.0.1:54149,0.873,0,0,17,0.0582
 10/12/2025 03:22:18,1,4,21, 10/12/2025 03:22:18.873,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:54149,0.874,0,0,26,0.0846
 10/12/2025 03:22:19,1,3,22, 10/12/2025 03:22:19.874,DATA,"24.0,44.9,3.9",127.0.0.1:54149,0.875,0,0,22,0.0765
